	id	codigo_ngbe	codigo_ngbe_text	nombre_extendido	identificador_geografico	nombre_alternativo_2	nombre_alternativo_3	nombre_variante_1	nombre_variante_2	nombre_variante_3	fuente_extendido	fuente_idg	fuente_alternativo_2	fuente_alternativo_3	fuente_variante_1	fuente_variante_2	fuente_variante_3	idioma_extendido	idioma_idg	idioma_alternativo_2	idioma_alternativo_3	idioma_variante_1	idioma_variante_2	idioma_variante_3	estatus_extendido	estatus_idg	estatus_alternativo_2	estatus_alternativo_3	estatus_variante_1	estatus_variante_2	estatus_variante_3	long_etrs89_regcan95	lat_etrs89_regcan95	huso_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95	hojamtn_25	codigo_ine	provincias_nombre	provincias_id
2094	2705320	1.3	División administrativa.Municipio		Turrillas							MITMA.IGN.NGMEP														Oficial						-2.26512269	37.0299004	30.0	565361.377736909	4098441.7687675	1030c4	04094000000	Almería	04
2124	2710869	1.3	División administrativa.Municipio		Badolatosa							MITMA.IGN.NGMEP														Oficial						-4.67235965	37.30789829	30.0	351796.513607549	4130340.55681647	1006c2	41014000000	Sevilla	41
2260	2708416	1.3	División administrativa.Municipio		Torreperogil							MITMA.IGN.NGMEP														Oficial						-3.28685384	38.03342782	30.0	474826.410046326	4209562.74238158	0906c4	23088000000	Jaén	23
2329	2709305	1.3	División administrativa.Municipio		Arriate							MITMA.IGN.NGMEP														Oficial						-5.14178234	36.79859734	30.0	308918.506456586	4074670.36860649	1051c1	29020000000	Málaga	29
2425	2705314	1.3	División administrativa.Municipio		Tabernas							MITMA.IGN.NGMEP														Oficial						-2.39150625	37.04984427	30.0	554106.301013083	4100574.89153645	1030c3	04088000000	Almería	04
2428	2705321	1.3	División administrativa.Municipio		Uleila del Campo							MITMA.IGN.NGMEP														Oficial						-2.2035137	37.18525562	30.0	570696.536701824	4115720.70271549	1013c4	04095000000	Almería	04
2579	2710858	1.3	División administrativa.Municipio		Aguadulce							MITMA.IGN.NGMEP														Oficial						-4.99341911	37.25197969	30.0	323210.789141963	4124687.927563	1005c2	41001000000	Sevilla	41
2617	2707594	1.3	División administrativa.Municipio		Alamedilla							MITMA.IGN.NGMEP														Oficial						-3.24475946	37.58043998	30.0	478388.905425374	4159293.7782698	0970c4	18002000000	Granada	18
2620	2707595	1.3	División administrativa.Municipio		Albolote							MITMA.IGN.NGMEP														Oficial						-3.65748033	37.23090185	30.0	441677.009408349	4120690.03123867	1009c4	18003000000	Granada	18
2651	2706688	1.3	División administrativa.Municipio		Algodonales							MITMA.IGN.NGMEP														Oficial						-5.40470441	36.88076763	30.0	285687.483162558	4084345.67225072	1036c3	11005000000	Cádiz	11
2655	2705232	1.3	División administrativa.Municipio		Abrucena							MITMA.IGN.NGMEP														Oficial						-2.7974669	37.13218285	30.0	517989.36672013	4109555.20068788	1029c1	04002000000	Almería	04
2671	2708338	1.3	División administrativa.Municipio		Alcaudete							MITMA.IGN.NGMEP														Oficial						-4.08750989	37.59013356	30.0	403989.092813307	4160896.93528637	0968c1	23003000000	Jaén	23
2683	2707601	1.3	División administrativa.Municipio		Alfacar							MITMA.IGN.NGMEP														Oficial						-3.57046354	37.23688695	30.0	449400.066782497	4121303.96543561	1009c4	18011000000	Granada	18
2686	2707603	1.3	División administrativa.Municipio		Alhama de Granada							MITMA.IGN.NGMEP														Oficial						-3.98605626	37.0037636	30.0	412267.711587381	4095744.27434135	1025c4	18013000000	Granada	18
2725	2707602	1.3	División administrativa.Municipio		Algarinejo							MITMA.IGN.NGMEP														Oficial						-4.15798102	37.32575532	30.0	397406.740514902	4131639.13091568	1008c1	18012000000	Granada	18
2726	2707611	1.3	División administrativa.Municipio		Atarfe							MITMA.IGN.NGMEP														Oficial						-3.6887337	37.22271103	30.0	438897.97852767	4119801.0511703	1009c3	18022000000	Granada	18
2780	2708343	1.3	División administrativa.Municipio		Arquillos							MITMA.IGN.NGMEP														Oficial						-3.43144008	38.18199961	30.0	462214.435330803	4226096.51102863	0885c3	23008000000	Jaén	23
2816	2721416	1.3	División administrativa.Municipio		Almonte							MITMA.IGN.NGMEP														Oficial						-6.51747768	37.26252304	29.0	720141.912862561	4126884.16653235	1001c1	21005000000	Huelva	21
2873	2709300	1.3	División administrativa.Municipio		Antequera							MITMA.IGN.NGMEP														Oficial						-4.55804451	37.0142215	30.0	361392.403998837	4097584.71118396	1023c4	29015000000	Málaga	29
2883	2710868	1.3	División administrativa.Municipio		Arahal							MITMA.IGN.NGMEP														Oficial						-5.54476269	37.26265472	30.0	274338.244409504	4127045.50599286	1003c2	41011000000	Sevilla	41
2933	2709298	1.3	División administrativa.Municipio		Alozaina							MITMA.IGN.NGMEP														Oficial						-4.85529513	36.72826442	30.0	334329.241922195	4066332.93958372	1051c4	29013000000	Málaga	29
