	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
3662	025-00165-02-00	2009-03-09	2009-11-24	342462.0	4136847.0	260
3663	025-00167-00-00	2006-03-10	2011-11-23	358829.0	4158736.0	2084
3664	025-00194-00-00	2006-03-06	2008-10-20	470031.0	4225558.0	959
3665	025-00201-00-00	2008-03-17	2011-11-14	434345.0	4132303.0	1337
3666	025-00202-01-01	2010-03-10	2010-11-23	327278.0	4094658.0	258
3667	025-00209-00--1	2006-03-29	2019-06-25	341774.0	4135978.0	4836
3668	025-00209-00-00	2006-03-13	2010-11-23	392311.0	4172502.0	1716
3669	025-00209-01-01	2019-04-09	2021-03-16	341774.0	4135978.0	707
3670	025-00214-00-00	2006-04-17	2007-11-12	396379.47	4118733.79	574
3671	025-00214-01-00	2009-03-09	2021-03-16	396379.0	4118733.0	4390
3672	025-00221-00-00	2006-04-03	2015-06-01	191495.0	4128853.0	3346
3673	025-00224-01-00	2012-03-12	2021-03-23	407790.0	4164161.0	3298
3674	025-00224-01-01	2016-03-15	2016-04-12			28
3675	025-00253-00-00	2008-03-17	2011-11-16	340417.0	4135784.0	1339
3676	025-00327-01-00	2009-03-09	2009-11-11	468420.0	4225521.0	247
3677	025-00374-00-00	2006-03-07	2011-11-08	420390.0	4184419.0	2072
3678	025-00416-01-0	2018-03-23	2020-11-03	481349.0	4186162.0	956
3679	025-00418-01	2014-03-17	2014-11-03	420114.0	4184305.0	231
3680	025-00418-01-1	2015-03-18	2021-03-24	420114.0	4184305.0	2198
3681	025-00424-00-00	2006-08-16	2006-11-22	521464.0	4147049.0	98
3682	025-00432-00-00	2006-07-24	2012-10-01	461538.0	4203026.0	2261
3683	025-00447-01	2013-04-15	2021-03-22	461516.0	4202863.0	2898
