codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days	lat	lon
021-00016-01	2016-04-05	2021-03-17	451852.0	4135811.0	1807	37.36777694051301	-3.543762259418099
025-00001-13	2016-04-12	2021-03-24	478098.0	4196683.0	1807	37.91742964788998	-3.2491815681299587
027-00001-10	2016-04-13	2021-03-24	479761.0	4195088.0	1806	37.903092506456176	-3.230216772738143
037-00003-37	2016-04-13	2021-03-24	476401.0	4194132.0	1806	37.89439516285163	-3.2684048150977705
029-00017-03-00	2016-04-06	2021-03-16	452798.0	4139325.0	1805	37.39949884843878	-3.533303252081188
004-00136-04-00	2016-04-11	2021-03-15	463969.0	4147637.0	1799	37.474921234283556	-3.407499120650195
026-00079-03-00	2016-04-12	2021-03-16	454651.0	4143106.0	1799	37.43367120813817	-3.5126004659840704
010-00063-03-8	2016-04-25	2021-03-22	424894.0	4184326.0	1792	37.803228982833744	-3.8531649108415316
020-00424-01-4	2016-04-25	2021-03-22	417723.0	4191546.0	1792	37.86767720846727	-3.9354355065285986
006-00037-05	2016-05-16	2021-03-24	533702.0	4250272.0	1773	38.40003716252098	-2.614033267801186
001-00412-02	2016-05-17	2021-03-24	525345.0	4242484.0	1772	38.33012604594096	-2.7100193163857615
006-00207-11-1	2016-05-17	2021-03-24	482081.0	4221022.0	1772	38.136879429283795	-3.2044755914349716
078-00144-02-00	2016-06-03	2021-03-22	280311.0	4108219.0	1753	37.094536608842766	-5.471932748796636
18-348-01	2016-01-11	2020-10-20	493419.0	4191109.0	1744	37.86743083952772	-3.074822225300744
004-00052-01-00	2016-06-07	2021-03-15	462716.0	4145402.0	1742	37.45472639468119	-3.4215566811296125
018-00004-02-00	2017-03-08	2021-11-24	318389.0	4133041.0	1722	37.32629831384109	-5.049797861535475
145-00002-11-00	2017-03-08	2021-11-24	314809.0	4126285.0	1722	37.26473370349411	-5.0884962193310725
011-00012-01-00	2017-03-08	2021-11-24	326433.0	4115064.0	1722	37.16588523864167	-4.95486732214526
002-00001-08-00	2017-03-08	2021-11-24	324493.0	4115352.0	1722	37.16811737791826	-4.976773152569411
011-00007-04-00	2017-03-08	2021-11-24	336714.0	4143491.0	1722	37.4238461835178	-4.845377344635688
003-00016-03	2016-03-07	2020-11-11	425032.0	4171129.0	1710	37.684305043544	-3.850235756919398
008-00495-01-01	2016-03-16	2020-11-19	380485.0	4134751.0	1709	37.351774519352126	-4.349435250941784
012-00169-01-03	2012-03-12	2016-11-15	439480.0	4188478.0	1709	37.84173236342036	-3.6878350677548357
040-00021-01	2012-03-12	2016-11-14	477601.0	4222333.0	1708	38.148594827319066	-3.255638144088495
