	municipio	provincia	codigo_ngbe_text	huso_etrs89_regcan95	long_etrs89_regcan95	lat_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95
251	antequera	malaga	División administrativa.Municipio	30	-4.55804451	37.0142215	361392.404	4097584.711
252	archidona	malaga	División administrativa.Municipio	30	-4.39031416	37.09717349	376449.5788	4106556.488
253	ardales	malaga	División administrativa.Municipio	30	-4.84547635	36.87640909	335523.3592	4082752.049
254	arriate	malaga	División administrativa.Municipio	30	-5.14178234	36.79859734	308918.5065	4074670.369
255	benaojan	malaga		30				
256	burgo  el	malaga		30				
257	campillos	malaga	División administrativa.Municipio	30	-4.86223442	37.04734424	334400.4272	4101746.13
258	canete la real	malaga		30				
259	casarabonela	malaga	División administrativa.Municipio	30	-4.84309805	36.78480634	335539.3006	4072584.959
260	coin	malaga		30				
261	colmenar	malaga	División administrativa.Municipio	30	-4.33648163	36.90317629	380931.4698	4084965.439
262	cortes de la frontera	malaga	División administrativa.Municipio	30	-5.34243171	36.61781253	290524.1664	4055031.372
263	cuevas bajas	malaga	División administrativa.Municipio	30	-4.48846113	37.23576989	367968.6015	4122065.481
264	cuevas de san marcos	malaga	División administrativa.Municipio	30	-4.41410228	37.26765901	374617.7151	4125502.364
265	cuevas del becerro	malaga	División administrativa.Municipio	30	-5.04657706	36.87520846	317595.5126	4082984.324
266	fuente de piedra	malaga	División administrativa.Municipio	30	-4.73195066	37.1355092	346165.3297	4111308.917
267	humilladero	malaga	División administrativa.Municipio	30	-4.70087934	37.11336322	348881.3224	4108801.912
268	mollina	malaga	División administrativa.Municipio	30	-4.65776429	37.1257807	352736.3413	4110111.838
269	montejaque	malaga	División administrativa.Municipio	30	-5.25172599	36.73390878	298939.4353	4067718.367
270	periana	malaga	División administrativa.Municipio	30	-4.19045032	36.92659688	393974.5388	4087391.377
271	ronda	malaga	División administrativa.Municipio	30	-5.1654186	36.73725905	306655.4545	4067912.297
272	sierra de yeguas	malaga	División administrativa.Municipio	30	-4.86861331	37.1240068	334000.464	4110263.057
273	teba	malaga	División administrativa.Municipio	30	-4.92158172	36.98132441	328974.4685	4094526.212
274	villanueva de algaidas	malaga	División administrativa.Municipio	30	-4.45078097	37.18660129	371227.5996	4116558.489
275	villanueva de tapia	malaga	División administrativa.Municipio	30	-4.33427797	37.18382365	381564.6851	4116098.381
276	villanueva del rosario	malaga	División administrativa.Municipio	30	-4.36394556	36.99699553	378633.5222	4095408.482
277	villanueva del trabuco	malaga	División administrativa.Municipio	30	-4.33741698	37.02928696	381044.5566	4098957.459
278	villafranca de cordoba	cordoba		30				
279	purullena	granada	División administrativa.Municipio	30	-3.18924015	37.31771856	483232.4649	4130135.657
280	carboneros	jaen	División administrativa.Municipio	30	-3.63131974	38.2293919	444744.6506	4231455.408
281	espeluy	jaen	División administrativa.Municipio	30	-3.86214441	38.03224667	424338.4866	4209743.597
282	aguadulce	sevilla	División administrativa.Municipio	30	-4.99341911	37.25197969	323210.7891	4124687.928
283	alcala de guadaira	sevilla		30				
284	algamitas	sevilla		30				
